334234600,6553600,0.078431,0,0.686273,0.078432,0,0.156863,65536,0.5,2.01,0.481079
334235703,100,0.078432,0,0.686272,0.078433,0,0.156863,65536,0.5,1.68,0
83559000,1638400,0.078432,0,0.686272,0.078433,0,0.156863,16384,0.5,1.805,0.481262
83560103,100,0.078433,0,0.686269,0.078437,0,0.156861,16384,0.5,1.617,0
20890200,409600,0.078434,0,0.686264,0.078439,0,0.156863,4096,0.5,1.81,0.481201
20891303,100,0.078439,0,0.686252,0.078454,0,0.156855,4096,0.5,1.9,0
334234600,6553600,0.078431,0,0.686273,0.078432,0,0.156863,65536,0.3,1.591,0.32
334235703,100,0.078432,0,0.686272,0.078433,0,0.156863,65536,0.3,1.4,0
83559000,1638400,0.078432,0,0.686272,0.078433,0,0.156863,16384,0.3,1.981,0.325989
83560103,100,0.078433,0,0.686269,0.078437,0,0.156861,16384,0.3,1.958,0
20890200,409600,0.078434,0,0.686264,0.078439,0,0.156863,4096,0.3,1.184,0.327393
20891303,100,0.078439,0,0.686252,0.078454,0,0.156855,4096,0.3,1.062,0
334234600,6553600,0.078431,0,0.686273,0.078432,0,0.156863,65536,0.7,1.508,0.325485
334235703,100,0.078432,0,0.686272,0.078433,0,0.156863,65536,0.7,1.286,0
83559000,1638400,0.078432,0,0.686272,0.078433,0,0.156863,16384,0.7,1.955,0.325989
83560103,100,0.078433,0,0.686269,0.078437,0,0.156861,16384,0.7,1.912,0
20890200,409600,0.078434,0,0.686264,0.078439,0,0.156863,4096,0.7,1.241,0.327393
20891303,100,0.078439,0,0.686252,0.078454,0,0.156855,4096,0.7,1.35,0
